                function_name                |                                                                            parameters                                                                             |                                                                                                                                                            return_type                                                                                                                                                             | security 
---------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------
 _resolve_investor_fee_pct                   | p_investor_id uuid, p_fund_id uuid, p_date date                                                                                                                   | numeric                                                                                                                                                                                                                                                                                                                            | DEFINER
 acquire_delivery_batch                      | p_period_id uuid, p_channel text, p_batch_size integer, p_worker_id uuid                                                                                          | TABLE(id uuid, statement_id uuid, investor_id uuid, recipient_email text, attempt_count integer)                                                                                                                                                                                                                                   | DEFINER
 acquire_position_lock                       | p_investor_id uuid, p_fund_id uuid                                                                                                                                | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 acquire_withdrawal_lock                     | p_request_id uuid                                                                                                                                                 | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 acquire_yield_lock                          | p_fund_id uuid, p_yield_date date                                                                                                                                 | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 add_fund_to_investor                        | p_investor_id uuid, p_fund_id text, p_initial_shares numeric, p_cost_basis numeric                                                                                | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 adjust_investor_position                    | p_investor_id uuid, p_fund_id uuid, p_delta numeric, p_note text, p_admin_id uuid, p_tx_type text, p_tx_date date, p_reference_id text                            | TABLE(transaction_id uuid, old_balance numeric, new_balance numeric)                                                                                                                                                                                                                                                               | DEFINER
 admin_create_transaction                    | p_investor_id uuid, p_fund_id uuid, p_type text, p_amount numeric, p_tx_date date, p_notes text, p_reference_id text, p_admin_id uuid                             | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 admin_create_transactions_batch             | p_requests jsonb                                                                                                                                                  | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 apply_daily_yield_to_fund_v3                | p_fund_id uuid, p_yield_date date, p_gross_yield_pct numeric, p_created_by uuid, p_purpose aum_purpose                                                            | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 apply_deposit_with_crystallization          | p_fund_id uuid, p_investor_id uuid, p_amount numeric, p_closing_aum numeric, p_effective_date date, p_admin_id uuid, p_notes text, p_purpose aum_purpose          | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 apply_withdrawal_with_crystallization       | p_fund_id uuid, p_investor_id uuid, p_amount numeric, p_closing_aum numeric, p_effective_date date, p_admin_id uuid, p_notes text, p_purpose aum_purpose          | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 apply_yield_correction_v2                   | p_fund_id uuid, p_period_start date, p_period_end date, p_purpose text, p_new_aum numeric, p_reason text, p_confirmation text                                     | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 approve_mfa_reset                           | p_request_id uuid, p_admin_id uuid                                                                                                                                | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 approve_withdrawal                          | p_request_id uuid, p_approved_amount numeric, p_admin_notes text                                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 assign_admin_role_from_invite               |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_delta_trigger                         |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_fee_schedule_changes                  |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_ib_allocation_payout                  |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_investor_fund_performance_changes     |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_transaction_changes                   |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 audit_user_role_changes                     |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 auto_close_previous_fee_schedule            |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 backfill_yield_summaries                    |                                                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 calculate_unrealized_pnl                    |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 can_access_investor                         | investor_uuid uuid                                                                                                                                                | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 can_access_notification                     | notification_id uuid                                                                                                                                              | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 can_execute_mfa_reset                       | p_user_id uuid                                                                                                                                                    | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 can_withdraw                                | p_investor_id uuid, p_fund_id uuid, p_amount numeric                                                                                                              | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 cancel_delivery                             | p_delivery_id uuid                                                                                                                                                | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 cancel_withdrawal_by_admin                  | p_request_id uuid, p_reason text, p_admin_notes text                                                                                                              | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 cascade_void_from_transaction               |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 cascade_void_to_allocations                 |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 cascade_void_to_yield_events                |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_and_fix_aum_integrity                 | p_fund_id uuid, p_start_date date, p_end_date date, p_dry_run boolean                                                                                             | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 check_aum_exists_for_date                   | p_fund_id uuid, p_date date                                                                                                                                       | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_aum_reconciliation                    | p_fund_id uuid, p_tolerance_pct numeric                                                                                                                           | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 check_duplicate_ib_allocations              |                                                                                                                                                                   | integer                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_duplicate_transaction_refs            |                                                                                                                                                                   | integer                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_fund_is_active                        |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_is_admin                              | user_id uuid                                                                                                                                                      | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_rate_limit                            | p_actor_id uuid, p_action_type text, p_max_actions integer, p_window_minutes integer                                                                              | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_rate_limit_with_config                | p_actor_id uuid, p_action_type text                                                                                                                               | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 check_system_integrity                      |                                                                                                                                                                   | TABLE(view_name text, issue_count bigint, status text)                                                                                                                                                                                                                                                                             | DEFINER
 cleanup_dormant_positions                   | p_dry_run boolean                                                                                                                                                 | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 cleanup_withdrawal_audit_on_cancel          |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 close_previous_fee_schedule                 |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 complete_withdrawal                         | p_request_id uuid, p_closing_aum numeric, p_event_ts timestamp with time zone, p_transaction_hash text, p_admin_notes text                                        | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 compute_correction_input_hash               | p_fund_id uuid, p_period_start date, p_period_end date, p_purpose text, p_new_aum numeric                                                                         | text                                                                                                                                                                                                                                                                                                                               | INVOKER
 compute_jsonb_delta                         | p_old jsonb, p_new jsonb                                                                                                                                          | jsonb                                                                                                                                                                                                                                                                                                                              | INVOKER
 create_admin_invite                         | p_email text                                                                                                                                                      | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 create_profile_on_signup                    |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 create_withdrawal_request                   | p_investor_id uuid, p_fund_id uuid, p_amount numeric, p_type text, p_notes text                                                                                   | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 crystallize_month_end                       | p_fund_id uuid, p_month_end_date date, p_closing_aum numeric, p_admin_id uuid                                                                                     | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 crystallize_yield_before_flow               | p_fund_id uuid, p_closing_aum numeric, p_trigger_type text, p_trigger_reference text, p_event_ts timestamp with time zone, p_admin_id uuid, p_purpose aum_purpose | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
