              trigger_name               |        table_name         |              function_name               | timing |        events        | status  
-----------------------------------------+---------------------------+------------------------------------------+--------+----------------------+---------
 on_auth_user_created                    | auth.users                | create_profile_on_signup                 | AFTER  | INSERT               | ENABLED
 on_auth_user_created_assign_admin_role  | auth.users                | assign_admin_role_from_invite            | AFTER  | INSERT               | ENABLED
 enforce_bucket_name_length_trigger      | storage.buckets           | enforce_bucket_name_length               | BEFORE | INSERT UPDATE        | ENABLED
 objects_delete_delete_prefix            | storage.objects           | delete_prefix_hierarchy_trigger          | AFTER  | DELETE               | ENABLED
 objects_insert_create_prefix            | storage.objects           | objects_insert_prefix_trigger            | BEFORE | INSERT               | ENABLED
 objects_update_create_prefix            | storage.objects           | objects_update_prefix_trigger            | BEFORE | UPDATE               | ENABLED
 update_objects_updated_at               | storage.objects           | update_updated_at_column                 | BEFORE | UPDATE               | ENABLED
 tr_check_filters                        | realtime.subscription     | subscription_check_filters               | BEFORE | INSERT UPDATE        | ENABLED
 prefixes_create_hierarchy               | storage.prefixes          | prefixes_insert_trigger                  | BEFORE | INSERT               | ENABLED
 prefixes_delete_hierarchy               | storage.prefixes          | delete_prefix_hierarchy_trigger          | AFTER  | DELETE               | ENABLED
 trg_enforce_fees_account_zero_fee       | profiles                  | enforce_fees_account_zero_fee            | BEFORE | INSERT UPDATE        | ENABLED
 trg_validate_ib_parent_role             | profiles                  | validate_ib_parent_has_role              | BEFORE | INSERT UPDATE        | ENABLED
 update_profiles_updated_at              | profiles                  | update_updated_at                        | BEFORE | UPDATE               | ENABLED
 protect_audit_log_immutable             | audit_log                 | protect_audit_log_immutable_fields       | BEFORE | UPDATE               | ENABLED
 audit_funds_changes                     | funds                     | log_data_edit                            | AFTER  | INSERT DELETE UPDATE | ENABLED
 update_funds_updated_at                 | funds                     | update_updated_at                        | BEFORE | UPDATE               | ENABLED
 audit_transactions_v2_changes           | transactions_v2           | log_data_edit                            | AFTER  | INSERT DELETE UPDATE | ENABLED
 delta_audit_transactions_v2             | transactions_v2           | audit_delta_trigger                      | AFTER  | INSERT DELETE UPDATE | ENABLED
 protect_transactions_immutable          | transactions_v2           | protect_transaction_immutable_fields     | BEFORE | UPDATE               | ENABLED
 trg_audit_transactions                  | transactions_v2           | audit_transaction_changes                | AFTER  | INSERT DELETE UPDATE | ENABLED
 trg_cascade_void_from_transaction       | transactions_v2           | cascade_void_from_transaction            | AFTER  | UPDATE               | ENABLED
