key,file,line,text
effective_date,src/services/admin/ibPayoutService.ts,35,"        effective_date,"
effective_date,src/services/admin/ibPayoutService.ts,51,"      .order(""effective_date"", { ascending: false });"
effective_date,src/services/admin/ibPayoutService.ts,85,"        effectiveDate: alloc.effective_date,"
effective_date,src/services/admin/investorWizardService.ts,207,"        effective_date: new Date().toISOString().split(""T"")[0],"
effective_date,src/services/admin/yieldDistributionService.ts,764,    effective_date: string;
effective_date,src/services/admin/yieldDistributionService.ts,769,"    .select(""id, fund_id, fee_pct, effective_date"")"
effective_date,src/services/admin/yieldDistributionService.ts,771,"    .order(""effective_date"", { ascending: false });"
effective_date,src/services/admin/yieldCorrectionService.ts,15,  effective_date?: string; // Legacy compatibility
effective_date,src/services/admin/yieldCorrectionService.ts,126,  effective_date: string;
effective_date,src/services/admin/yieldCorrectionService.ts,397,"    : summary.effective_date || ""N/A"";"
effective_date,src/services/admin/yieldCorrectionService.ts,440,"    : summary.effective_date || ""N/A"";"
effective_date,src/services/shared/feeScheduleService.ts,6,  effective_date: string;
effective_date,src/services/shared/feeScheduleService.ts,23,"      .select(""fee_pct, effective_date, fund_id, funds(code)"")"
effective_date,src/services/shared/feeScheduleService.ts,25,"      .order(""effective_date"", { ascending: false });"
effective_date,src/services/shared/feeScheduleService.ts,35,"      effective_date: row.effective_date as string,"
effective_date,src/services/shared/feeScheduleService.ts,80,"          effective_date: today,"
effective_date,src/services/shared/feeScheduleService.ts,82,"        { onConflict: ""investor_id,fund_id,effective_date"" }"
effective_date,src/services/shared/feeScheduleService.ts,101,"      effective_date: params.effectiveDate,"
effective_date,src/services/shared/feeScheduleService.ts,127,    effective_date: string;
effective_date,src/services/shared/feeScheduleService.ts,134,"      .order(""effective_date"", { ascending: false });"
effective_date,src/services/shared/ibService.ts,122,"      effective_date: effectiveDate.toISOString().split(""T"")[0],"
effective_date,src/services/shared/ibService.ts,150,"    .order(""effective_date"", { ascending: false })"
effective_date,src/services/shared/ibService.ts,154,"    query = query.gte(""effective_date"", startDate.toISOString().split(""T"")[0]);"
effective_date,src/services/shared/ibService.ts,157,"    query = query.lte(""effective_date"", endDate.toISOString().split(""T"")[0]);"
effective_date,src/services/shared/ibService.ts,176,"    effectiveDate: row.effective_date,"
tx_type,src/services/api/transactionApi.ts,5,"type TxType = Database[""public""][""Enums""][""tx_type""];"
effective_date,src/services/ib/ibService.ts,155,"        effective_date,"
effective_date,src/services/ib/ibService.ts,162,"      query = query.gte(""effective_date"", format(startDate, ""yyyy-MM-dd""));"
effective_date,src/services/ib/ibService.ts,217,"      query = query.gte(""effective_date"", format(startDate, ""yyyy-MM-dd""));"
effective_date,src/services/ib/ibService.ts,411,"        effective_date,"
effective_date,src/services/ib/ibService.ts,418,"      .order(""effective_date"", { ascending: false })"
effective_date,src/services/ib/ibService.ts,445,"        effective_date,"
effective_date,src/services/ib/ibService.ts,459,"      .order(""effective_date"", { ascending: false });"
effective_date,src/services/ib/ibService.ts,462,"      query = query.gte(""effective_date"", format(dateRange.start, ""yyyy-MM-dd""));"
effective_date,src/services/ib/ibService.ts,465,"      query = query.lte(""effective_date"", format(dateRange.end, ""yyyy-MM-dd""));"
effective_date,src/services/ib/ibService.ts,486,"        effectiveDate: alloc.effective_date,"
effective_date,src/pages/admin/RecordedYieldsPage.tsx,96,      const key = `${c.fund_id}:${c.effective_date}:${c.purpose}`;
effective_date,src/pages/ib/IBReferralDetailPage.tsx,171,"                        {format(new Date(comm.effective_date), ""MMM d, yyyy"")}"
effective_date,src/components/admin/expert/InvestorFeeManager.tsx,217,                    key={`${row.fund_code}-${row.effective_date}`}
effective_date,src/components/admin/expert/InvestorFeeManager.tsx,223,                        Effective {new Date(row.effective_date).toLocaleDateString()}
effective_date,src/components/admin/yields/YieldCorrectionPreview.tsx,66,"    downloadCsv(csv, `yield-correction-investors-${summary.period_end || summary.effective_date}.csv`);"
effective_date,src/components/admin/yields/YieldCorrectionPreview.tsx,71,"    downloadCsv(csv, `yield-correction-transactions-${summary.period_end || summary.effective_date}.csv`);"
effective_date,src/components/admin/investors/InvestorFeeManager.tsx,25,  effective_date: string;
effective_date,src/components/admin/investors/InvestorFeeManager.tsx,82,    const activeFees = feeSchedule.filter((f) => f.effective_date <= today);
effective_date,src/components/admin/investors/InvestorFeeManager.tsx,257,"                          {format(new Date(entry.effective_date), ""MMM d, yyyy"")}"
effective_date,src/components/admin/investors/InvestorYieldManager.tsx,78,      (f) => f.fund_id === fundId && f.effective_date <= today
effective_date,src/components/admin/investors/InvestorYieldManager.tsx,84,      (f) => !f.fund_id && f.effective_date <= today
effective_date,src/test/integration/yieldCorrection.test.ts,27,"          effective_date: TEST_DATE,"
tx_type,src/types/domains/transaction.ts,10,// Get enum types from database - tx_type is the actual transactions_v2 column enum
tx_type,src/types/domains/transaction.ts,11,"export type TransactionType = Database[""public""][""Enums""][""tx_type""];"
tx_type,tests/unit/services/transactionIdempotency.test.ts,102,"    it('should validate INTERNAL_CREDIT as valid tx_type', () => {"
